,Congress,ICPSR#,State#,HouseDist,State Name,Party,Name,Comm Number,1st Dim,2nd Dim,Log-Lik,TotalChoice,GeomMean,Pct Correct
354,112,21120,43,24,FLORIDA,200,ADAMS,C00463877,0.538,-0.12,-106.54424,865,0.884,0.945\
19,112,29940,25,2,WISCONS,100,BALDWIN,C00326801,-0.603,-0.273,-99.90493,852,0.889,0.950\
135,112,20338,13,1,NEW YOR,100,BISHOP,C00375618,-0.37,-0.181,-129.79053,853,0.859,0.936\
96,112,15005,71,28,CALIFOR,100,BERMAN,C00147686,-0.441,-0.35,-132.47404,846,0.855,0.935\
270,112,29508,71,50,CALIFOR,200,BILBRAY,C00300830,0.393,-0.586,-223.93854,822,0.762,0.875\
159,112,15453,21,12,ILLINOI,100,COSTELLO,C00238444,-0.319,0.642,-318.76318,838,0.684,0.823\
365,112,21158,13,25,NEW YOR,200,BUERKLE,C00473751,0.555,-0.04,-102.2998,860,0.888,0.945\
317,112,21189,25,7,WISCONS,200,DUFFY,C00464339,0.475,-0.416,-158.8307,854,0.83,0.907\
242,112,29775,71,45,CALIFOR,200,BONO MACK,C00332890,0.34,-0.348,-170.13107,853,0.819,0.911\
255,112,29323,71,44,CALIFOR,200,CALVERT,C00257337,0.367,0.027,-96.83253,856,0.893,0.963\
428,112,20539,71,48,CALIFOR,200,CAMPBELL,C00412312,0.757,-0.644,-172.7901,809,0.808,0.904\
112,112,20340,47,1,NORTH C,100,BUTTERFI,C00401190,-0.414,0.193,-175.0352,821,0.808,0.932\
122,112,21140,3,10,MASSACH,100,KEATING,C00479063,-0.391,-0.26,-146.4333,836,0.839,0.911\
7,112,20733,13,11,NEW YOR,100,CLARKE,C00415331,-0.65,-0.274,-101.70963,847,0.887,0.946\
32,112,20713,82,2,HAWAII,100,HIRONO,C00420760,-0.555,-0.135,-100.77622,815,0.884,0.950\
120,112,20119,3,9,MASSACH,100,LYNCH,C00366948,-0.393,0.099,-166.14806,847,0.822,0.900\
105,112,29925,13,7,NEW YOR,100,CROWLEY,C00338954,-0.43,-0.08,-106.66837,830,0.879,0.946\
104,112,29774,71,23,CALIFOR,100,CAPPS,C00331389,-0.43,-0.293,-91.85439,850,0.898,0.960\
93,112,15603,13,17,NEW YOR,100,ENGEL,C00236513,-0.445,-0.22,-144.95187,804,0.835,0.920\
174,112,20306,71,18,CALIFOR,100,CARDOZA,C00383794,-0.252,0.444,-359.23489,817,0.644,0.780\
41,112,14435,3,7,MASSACH,100,MARKEY,C00196774,-0.535,-0.396,-88.84505,844,0.9,0.957\
39,112,29717,21,7,ILLINOI,100,DAVIS,C00172619,-0.536,-0.391,-123.2288,823,0.861,0.939\
397,112,20123,34,2,MISSOUR,200,AKIN,C00343475,0.623,0.038,-105.04225,838,0.882,0.946\
30,112,29729,3,3,MASSACH,100,MCGOVERN,C00285171,-0.569,-0.243,-93.21996,861,0.897,0.956\
215,112,21156,13,20,NEW YOR,200,GIBSON,C00477984,0.26,-0.692,-345.37665,864,0.67,0.803\
26,112,20955,71,32,CALIFOR,100,CHU,C00458125,-0.576,-0.407,-91.53373,847,0.898,0.963\
250,112,20758,43,9,FLORIDA,200,BILIRAKI,C00408534,0.362,-0.052,-132.05138,844,0.855,0.945\
399,112,21141,23,1,MICHIGA,200,BENISHEK,C00476325,0.625,-0.542,-138.56866,861,0.851,0.935\
312,112,20925,46,3,MISSISS,200,HARPER,C00441295,0.471,0.184,-89.55186,861,0.901,0.954\
202,112,21127,21,10,ILLINOI,200,DOLD,C00465971,0.216,-0.36,-249.6227,852,0.746,0.886\
48,112,29348,21,4,ILLINOI,100,GUTIERRE,C00254581,-0.52,-0.298,-137.03673,789,0.841,0.939\
183,112,20501,71,20,CALIFOR,100,COSTA,C00391029,-0.213,0.492,-383.60239,829,0.63,0.772\
133,112,20108,71,53,CALIFOR,100,DAVIS,C00344671,-0.371,-0.202,-117.53964,855,0.872,0.949\
350,112,15085,49,6,TEXAS,200,BARTON,C00195065,0.531,0.029,-177.69214,818,0.805,0.905\
295,112,21109,71,19,CALIFOR,200,DENHAM,C00473272,0.439,0.174,-100.58793,849,0.888,0.954\
53,112,20920,2,1,MAINE,100,PINGREE,C00433391,-0.504,-0.372,-116.53781,833,0.869,0.939\
190,112,20743,14,4,PENNSYL,100,ALTMIRE,C00413310,-0.135,0.923,-342.50452,865,0.673,0.820\
322,112,14813,71,26,CALIFOR,200,DREIER,C00088658,0.481,-0.094,-145.37708,852,0.843,0.930\
206,112,21154,13,13,NEW YOR,200,GRIMM,C00470807,0.229,0.037,-177.52402,852,0.812,0.912\
217,112,29541,12,11,NEW JER,200,FRELINGH,C00299404,0.268,-0.516,-180.43968,758,0.788,0.912\
220,112,21171,14,11,PENNSYL,200,BARLETTA,C00445122,0.273,0.294,-113.59534,846,0.874,0.959\
103,112,29312,71,14,CALIFOR,100,ESHOO,C00258475,-0.431,-0.467,-125.66216,813,0.857,0.937\
65,112,29588,72,3,OREGON,100,BLUMENAU,C00307314,-0.481,-0.689,-137.21791,813,0.845,0.931\
358,112,20144,40,7,VIRGINI,200,CANTOR,C00355461,0.544,-0.156,-111.06171,800,0.87,0.938\
131,112,20516,34,3,MISSOUR,100,CARNAHAN,C00493684,-0.375,0.029,-122.59735,848,0.865,0.954\
59,112,29313,71,17,CALIFOR,100,FARR,C00290429,-0.495,-0.293,-129.03462,852,0.859,0.940\
171,112,29339,44,2,GEORGIA,100,BISHOP,C00266940,-0.281,0.373,-219.54033,815,0.764,0.896\
60,112,15410,72,4,OREGON,100,DEFAZIO,C00215905,-0.491,0.162,-323.78195,844,0.681,0.839\
66,112,39301,48,6,SOUTH C,100,CLYBURN,C00255562,-0.481,0.213,-156.31987,852,0.832,0.919\
361,112,20906,62,6,COLORAD,200,COFFMAN,C00497180,0.548,-0.307,-165.34402,858,0.825,0.911\
199,112,21157,13,24,NEW YOR,200,HANNA,C00451005,0.195,-0.292,-256.88937,838,0.736,0.869\
69,112,20750,6,1,VERMONT,100,WELCH,C00413179,-0.475,-0.162,-151.55547,850,0.837,0.933\
344,112,29760,49,8,TEXAS,200,BRADY,C00311043,0.525,0.042,-112.58094,839,0.874,0.933\
13,112,20941,24,11,OHIO,100,FUDGE,C00454694,-0.63,-0.086,-113.26627,850,0.875,0.944\
5,112,29325,71,51,CALIFOR,100,FILNER,C00261388,-0.682,0.047,-86.21635,760,0.893,0.951\
90,112,15616,3,2,MASSACH,100,NEAL,C00226522,-0.448,-0.103,-96.69888,804,0.887,0.950\
283,112,21132,22,8,INDIANA,200,BUCSHON,C00468256,0.409,0.171,-90.25828,863,0.901,0.963\
78,112,29587,52,7,MARYLAN,100,CUMMINGS,C00310318,-0.461,-0.216,-120.26123,858,0.869,0.936\
